-0.0228521285496105+1.79820254404943e-17i,-0.0346563481942547-1.86618387084038e-17i,-0.0640543637988954-2.57700116764412e-17i,-0.0562014958665399-4.1854308713976e-18i,-0.0331733625627789-1.96129434179462e-17i,-0.00631090071769722-3.15468036798769e-20i,0.0333689296784233-1.7862391926768e-17i
0.00808162540834081+1.01683533429231e-17i,-0.0507579323228314+1.24206368320994e-17i,-0.0224133386329701-8.59452770028451e-18i,0.0416093078241961+1.04209500048389e-18i,0.00405045922774953+1.78196535492152e-17i,0.0366485021778016+2.49871399302235e-18i,0.0372976595451567-1.96278129012e-17i
-0.0384019617610242-8.17002766777387e-18i,0.0891275686085218-7.15452049104401e-18i,0.0214341580077637-1.83068106126183e-18i,0.0150169319890791+1.46054759004381e-17i,-0.0325001935698249+6.64240824832753e-18i,0.117387531178463+1.07133215911338e-17i,0.0200271329495961+1.67633837386532e-17i
-0.00921548150146248-7.50341582302179e-18i,0.0615177189952719-6.15848425263642e-18i,0.000801629648830137-2.16038650298133e-17i,-0.00560924787857391+2.48478762809403e-17i,-0.0147236014948443-1.79722903437978e-17i,-0.129880364338548-1.55301581990951e-17i,-0.00107057284205516+3.62844822775126e-17i
-0.0188319459990803+2.1690466497419e-17i,-0.0280505316509198+2.25505607831163e-17i,0.0107359312812708-2.6978464538317e-17i,0.052570107780072+1.70940296519621e-17i,-0.159025750131672-3.88873763854377e-17i,-0.00383810147814097-7.75643856948644e-18i,0.0415884500570227-2.98275175327513e-17i
0.0379764137514599-1.86214116804355e-17i,-0.0767948965517173+5.49909683836782e-17i,0.0909426594524893+4.80266838146937e-17i,-0.105317745166014-1.53695171543758e-17i,-0.000635574189318356+8.90242635055769e-17i,-0.0101421121524875+4.34237820958621e-17i,-0.0447461169577992-6.40788850816875e-17i
0.0243486890649041+8.25188681438243e-18i,-0.133066873806392-1.67949321683007e-17i,-0.0754802384965454-1.8808799332906e-17i,-0.0933216568977403-1.01071378851152e-17i,0.0135390550970388-5.09645031975837e-18i,-0.000659706077631646-1.33132287530379e-17i,0.0570942292503631-2.89323860603252e-17i
-0.00602431917384166-1.02178494566135e-17i,0.0653917655155791-7.58605448973605e-18i,0.00991881681209719+1.03177520674397e-18i,0.047828916661635+2.73620379728412e-18i,0.0508868591012774+9.7669259955194e-18i,-0.01435151775419+1.58119090654097e-20i,-0.0195604940723385+3.95021829174122e-17i
-0.0362587953315981+2.22639757365229e-17i,0.0967991614754731-2.61085780579724e-17i,-0.040823120997742-1.4251760200553e-17i,0.0698733426888459-3.64420531163085e-20i,-0.00324069984516469-6.58806725770426e-17i,-0.0315555123743818+2.6289810758345e-18i,0.0247167560963539+2.28484346071988e-17i
-0.030471536809392+2.29177935546533e-17i,-0.0109779552294319-1.83025837806445e-17i,-0.0920472600789633-2.69405632404777e-17i,-0.0493272827035004+1.60351509337128e-17i,-0.0411901878862958-5.90470922846304e-17i,-0.132873139642122-2.67189539755155e-17i,0.0972703736957001-1.99818561627457e-17i
-0.0561756595154032+2.62877714537912e-17i,0.101422694651994-4.13711356695881e-18i,-0.0353617092457742-1.96175076439236e-17i,0.0452549827161106+8.99860106360676e-18i,-0.0231158408256136-2.56992036259392e-17i,0.0705240243980171-1.30273023808991e-17i,0.112226011452188-3.80332943872155e-18i
