-0.0141667255805559+3.37525887713679e-06i,-0.016930477580309+7.96294030216848e-06i,-0.0284219738593565+4.21702224983592e-06i,0.0336149005275659-3.1779579258194e-06i,-0.0248202237810918+8.13573027828272e-06i,0.0341495885912162-2.59116013650253e-05i,-0.0255591002100675-8.14173040852117e-07i
0.00771016085441322-4.88364165691836e-07i,0.0344107925814858-5.85107461302869e-06i,-0.0161263007877652+4.01780951436535e-06i,-0.00289986506654105+9.58231398886136e-07i,0.000221023131393332-9.57484639442706e-06i,-0.0031815513057252+1.25546190110348e-05i,0.0182434381326511+7.10406906714098e-08i
0.0150473396361996+1.37680641062536e-06i,0.0506673656222413-1.16001990915648e-06i,0.0376218181544168+1.14958143510558e-05i,0.00597324876801761+4.81969377618493e-05i,-0.00163745638794487-8.85775945722436e-06i,-0.0629636902784922+2.58984769194453e-05i,-0.0348598856228346-5.546093412239e-05i
0.00283707774956305+9.52207814897755e-06i,-0.0104483440905645+6.15158219389576e-06i,0.0440059675085415+8.83031846788258e-06i,0.0189179874967044+7.22640408487539e-05i,0.0100009156965829-1.02495428541473e-05i,-0.0256873377568309+1.29698924235347e-05i,-0.0857809630435535-5.11138689942455e-05i
-0.00217167443997059-1.92639866208395e-06i,-0.00687068689893283-3.18230847707544e-06i,0.0299495690139526+1.71000975086369e-05i,0.00333141076815711+3.28338887658335e-05i,0.0446516247052027-7.0479969996041e-06i,-0.0144011681338299+1.43288687614201e-05i,-0.0197028945821106-4.45444371712052e-05i
0.0128469996742709+6.3939609713063e-06i,0.0307692548008074+3.9629739572222e-06i,0.0538972497117587-5.4537893004763e-06i,0.0218278775291199+2.24651283167577e-05i,0.0043959235937965+2.61003558363261e-06i,-0.042032130518556+2.88510736195568e-06i,-0.0305182517926401-1.224328579358e-05i
0.0201319290373433+3.74877611142004e-06i,-0.0333838209693204-2.80799232924862e-06i,0.031504272196146+7.61489914287606e-06i,0.0336493038652416+3.64743264377399e-05i,0.0108414728066129-1.48085579222189e-05i,-0.0353134515160141+2.42121211023744e-05i,0.00063120914965646-3.50419549700258e-05i
0.0228648346008879+5.41886836065836e-06i,0.0967596603791855+1.83692113312642e-06i,0.0353042856951336+2.14282670927561e-06i,0.00936965797164705+2.57737035721046e-05i,-0.0421965256852789-8.84629187272064e-06i,-0.0592911318114412+1.56979195945157e-05i,-0.0223113615949222-2.70260785001935e-05i
-0.00533566173772628-4.29949883128585e-06i,-0.0101569773053985-4.26489843959395e-06i,0.0128152318431481-2.8551008447017e-07i,-0.0235372953925624-1.96272052200006e-05i,-0.00975955045182004+2.36180312114421e-06i,0.0139617787286443-6.59426868236255e-06i,0.0210566695015765+1.60650520085123e-05i
0.0118200811153759+1.32505562735924e-06i,0.0239430020064178+3.47469053813531e-07i,0.030938864048638+5.78901797874693e-06i,0.00220548938421136-8.56251014511143e-06i,-0.00346035429677632+4.20412534344461e-06i,-0.0120657869645541+2.28629774542584e-06i,0.0207583143680887-3.43365242016258e-06i
0.00556625318273794+1.35773848570851e-06i,-0.0570676990608109+2.83527653055418e-06i,-0.0349615028056365-6.61962662303512e-06i,0.0126237308204763-3.53007423627867e-05i,-0.0320513221635692+1.31533642967474e-05i,0.0216079139497272-2.22598161462081e-05i,0.0240451288672424+3.7423623711921e-05i
0.00836606670990382-8.78838403554834e-06i,0.0379016336618824-7.72796736507801e-06i,-0.0583289887443379+2.34548170859204e-05i,-0.014667436785208-1.60799050439178e-05i,-0.0369466737327977+5.22947592235466e-06i,0.0179957230222576+3.69334855880495e-06i,0.0426855878077563-2.02882943887632e-05i
